,P0_red Coca-Cola aluminum can,P1_black and silver extendable selfie stick with phone holder,P2_white plastic clip device (mini stapler or bag sealer),P3_yellow snack bag of Japanese pea crackers,P4_Apple iMac desktop computer with silver aluminum stand,P5_mechanical keyboard with dark gray keycaps and one orange key,P6_white Apple Magic Mouse,P7_white camo-pattern Xbox controller,P8_empty wine glass with long stem,P9_small succulent plant in a yellow ceramic pot,P10_metallic ballpoint pen with a clear barrel,"P11_office chair with black mesh back, black seat cushion, and armrests",P12_spray bottle with white nozzle and light blue liquid,P13_wooden-handled brush with black bristles,P14_green and yellow scouring sponge,P15_pair of scissors with yellow handles,P16_metal calibration weight labeled 'M 500g',"P17_plush turtle shell pet bed (green top, white rim)",P18_transparent plastic umbrella with white curved handle,P19_blue upholstered two-seat bench with black metal armrests,P20_beige round bean bag / floor cushion
P0_red Coca-Cola aluminum can,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_black and silver extendable selfie stick with phone holder,"3.3019272488946263(6,2,3)","0(0,0,0)","3.9148676411688634(5,3,4)","1.2599210498948732(2,1,1)","5.64621617328617(6,6,5)","3.9999999999999996(4,4,4)","3.3019272488946263(4,3,3)","3.9148676411688634(5,4,3)","2.5198420997897464(2,4,2)","5.64621617328617(6,6,5)","2.6207413942088964(3,3,2)","2.7144176165949063(5,2,2)","2.5198420997897464(4,2,2)","4.308869380063767(4,5,4)","1.0(1,1,1)","4.641588833612778(5,4,5)","6.649399761150975(7,7,6)","1.0(1,1,1)","3.9148676411688634(5,3,4)","4.481404746557164(6,5,3)","1.2599210498948732(2,1,1)"
P2_white plastic clip device (mini stapler or bag sealer),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_yellow snack bag of Japanese pea crackers,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_Apple iMac desktop computer with silver aluminum stand,"2.7144176165949063(5,2,2)","3.3019272488946263(4,3,3)","2.6207413942088964(3,2,3)","1.5874010519681994(4,1,1)","0(0,0,0)","4.5788569702133275(6,4,4)","3.3019272488946263(4,3,3)","3.5568933044900626(5,3,3)","2.6207413942088964(3,3,2)","4.217163326508746(5,5,3)","3.4199518933533937(2,4,5)","2.8844991406148166(6,2,2)","2.8844991406148166(4,2,3)","1.4422495703074083(3,1,1)","1.4422495703074083(3,1,1)","3.9148676411688634(3,4,5)","5.241482788417793(4,6,6)","1.4422495703074083(3,1,1)","3.0(3,3,3)","4.308869380063767(5,4,4)","1.5874010519681994(4,1,1)"
P5_mechanical keyboard with dark gray keycaps and one orange key,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_white Apple Magic Mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_white camo-pattern Xbox controller,"3.1072325059538586(5,3,2)","4.93242414866094(6,5,4)","3.634241185664279(4,4,3)","1.5874010519681994(4,1,1)","5.943921952763129(7,6,5)","3.9148676411688634(5,4,3)","3.634241185664279(4,3,4)","0(0,0,0)","3.5568933044900626(3,5,3)","5.999999999999999(6,6,6)","2.5198420997897464(2,4,2)","3.0365889718756622(7,2,2)","3.1072325059538586(5,3,2)","1.8171205928321397(3,2,1)","1.2599210498948732(2,1,1)","4.641588833612778(4,5,5)","6.999999999999999(7,7,7)","1.4422495703074083(3,1,1)","3.5568933044900626(5,3,3)","4.93242414866094(6,5,4)","1.4422495703074083(3,1,1)"
P8_empty wine glass with long stem,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_small succulent plant in a yellow ceramic pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
