,P0_red Coca-Cola aluminum can,P1_black and silver extendable selfie stick with phone holder,P2_white plastic clip device (mini stapler or bag sealer),P3_yellow snack bag of Japanese pea crackers,P4_Apple iMac desktop computer with silver aluminum stand,P5_mechanical keyboard with dark gray keycaps and one orange key,P6_white Apple Magic Mouse,P7_white camo-pattern Xbox controller,P8_empty wine glass with long stem,P9_small succulent plant in a yellow ceramic pot,P10_metallic ballpoint pen with a clear barrel,"P11_office chair with black mesh back, black seat cushion, and armrests",P12_spray bottle with white nozzle and light blue liquid,P13_wooden-handled brush with black bristles,P14_green and yellow scouring sponge,P15_pair of scissors with yellow handles,P16_metal calibration weight labeled 'M 500g',"P17_plush turtle shell pet bed (green top, white rim)",P18_transparent plastic umbrella with white curved handle,P19_blue upholstered two-seat bench with black metal armrests,P20_beige round bean bag / floor cushion
V0_Easel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V1_Tube,2.2353,1.1176,3.0392,3.9020,1.0000,1.1961,1.7647,1.1961,1.4902,1.3725,2.5490,2.1765,2.0588,1.6275,3.6078,1.6863,1.2353,2.0784,2.1176,1.5882,1.9804
V2_Spray Can,3.6923,3.6923,2.6923,1.0000,1.2564,2.2821,2.0256,3.4615,1.0000,1.4615,4.8205,1.0769,2.9744,1.0769,1.2564,1.5128,2.3590,1.0000,3.2051,1.0000,1.0000
V3_Round Mallet,2.3333,4.3333,1.0000,1.0000,2.5000,2.1667,1.3333,3.0000,2.3333,2.3333,1.5000,1.5000,4.6667,2.5000,1.0000,1.6667,4.0000,1.3333,2.5000,1.5000,1.3333
V4_Chisel,4.0000,4.7500,1.8333,1.0833,2.2500,1.5833,2.0000,1.9167,3.2500,2.5000,3.2500,1.0833,3.6667,3.4167,1.0000,2.6667,4.2500,1.0000,4.5000,1.6667,1.0000
V5_Box Pile 02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V6_Bust,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V7_Paint Brush,2.0000,3.0952,1.8571,2.0000,1.0000,1.0000,1.5714,1.0000,4.4762,1.0000,6.5238,1.0000,2.9048,2.7143,2.0000,2.1905,1.5714,1.1429,4.1905,1.0000,1.0000
V8_Stone Tablet,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V9_Paint Roller,2.4762,5.0476,1.8571,1.0000,1.3333,1.9048,1.7619,2.2857,4.0476,1.9048,2.9524,1.0000,4.2381,3.0476,1.0000,2.0476,3.9048,1.3810,4.8095,1.0000,1.0000
V10_Table 01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V11_Table 02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V12_Box Pile 01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V13_Cardboard Box,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
