,P0_small green potted plant in a white pot,P1_hardcover notebook with dark patterned cover,P2_pair of black-framed glasses,P3_clear plastic water bottle with screw cap,P4_yellow disposable paper cup,P5_transparent plastic ruler,P6_white USB charging cable,P7_small layered 3D-printed grey rabbit figurine,P8_red Shin Ramyun instant noodle packet,P9_stainless steel metal tweezers,P10_silver and black Olympus PEN film camera,P11_green round retractable measuring tape with partially extended beige tape,P12_white plastic adjustable desk lamp with circular head,P13_green-and-white pack of wet wipes with a single white tissue sheet protruding,P14_small bright orange tangerine,P15_long metal flat-head screwdriver with a translucent red handle,P16_gray fabric messenger bag with zipper pocket and adjustable shoulder strap,P17_high-back gray upholstered booth seat with metal frame,P18_black adjustable tripod stand (microphone or lighting stand),P19_green hexagonal fabric ottoman,P20_whiteboard with drawings and writings,P21_floor power outlet module with visible sockets,P22_loose white sheet of paper or document
V0_Easel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V1_Tube,2.0980,1.0980,2.6471,3.7647,2.9608,2.0392,2.2549,1.8824,3.4118,1.9216,1.0000,2.4510,1.2353,4.0392,3.9804,1.4314,2.5686,2.3725,1.2353,2.1765,1.0000,1.0000,1.8627
V2_Spray Can,2.2308,1.5897,1.0000,3.1026,2.0513,2.5385,1.0000,1.3333,2.0256,3.5641,5.2564,4.8974,1.7436,1.5128,2.0769,1.0769,1.7692,1.2564,2.1795,1.2564,1.0000,3.5641,1.0000
V3_Round Mallet,2.0000,2.0000,1.0000,4.8333,1.3333,1.1667,1.0000,1.5000,1.1667,1.1667,4.0000,2.0000,4.1667,1.6667,1.3333,3.0000,2.8333,2.1667,4.6667,1.6667,1.0000,1.3333,1.0000
V4_Chisel,2.4167,1.5000,1.9167,2.5000,1.1667,1.5833,1.0000,1.2500,1.0000,3.0833,2.8333,1.5000,3.2500,1.0833,1.1667,4.1667,1.2500,2.5000,3.7500,1.0000,2.0000,2.1667,1.0000
V5_Box Pile 02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V6_Bust,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V7_Paint Brush,2.2381,1.1429,3.2857,2.0952,2.8095,3.3810,2.7619,1.8095,1.8571,4.4762,1.3810,2.0952,1.7619,2.0000,1.5714,5.1429,1.2857,1.9524,2.3333,1.0000,1.5714,1.0000,2.2857
V8_Stone Tablet,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V9_Paint Roller,2.3810,3.0476,1.7619,4.8571,1.4286,2.0952,1.1429,1.5714,1.7619,1.7143,4.0476,2.1905,4.3810,2.6190,1.3810,4.0952,1.9524,2.2857,3.8095,1.0000,1.4286,1.1905,1.0000
V10_Table 01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V11_Table 02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V12_Box Pile 01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V13_Cardboard Box,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
