,P0_small green potted plant in a white pot,P1_hardcover notebook with dark patterned cover,P2_pair of black-framed glasses,P3_clear plastic water bottle with screw cap,P4_yellow disposable paper cup,P5_transparent plastic ruler,P6_white USB charging cable,P7_small layered 3D-printed grey rabbit figurine,P8_red Shin Ramyun instant noodle packet,P9_stainless steel metal tweezers,P10_silver and black Olympus PEN film camera,P11_green round retractable measuring tape with partially extended beige tape,P12_white plastic adjustable desk lamp with circular head,P13_green-and-white pack of wet wipes with a single white tissue sheet protruding,P14_small bright orange tangerine,P15_long metal flat-head screwdriver with a translucent red handle,P16_gray fabric messenger bag with zipper pocket and adjustable shoulder strap,P17_high-back gray upholstered booth seat with metal frame,P18_black adjustable tripod stand (microphone or lighting stand),P19_green hexagonal fabric ottoman,P20_whiteboard with drawings and writings,P21_floor power outlet module with visible sockets,P22_loose white sheet of paper or document
V0_Table,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V1_Sink,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V2_Fork,1.4127,1.5873,3.4127,2.1746,1.9524,5.3810,3.5556,1.7619,1.5079,4.9683,1.9524,2.7778,2.0952,1.3810,1.7619,3.4921,1.4603,2.2857,1.8889,1.0000,2.6825,2.6825,2.4286
V3_Knife,2.1429,2.8095,2.5714,2.5556,1.3651,5.3810,1.3968,1.3810,1.5079,3.8413,2.3016,3.3333,1.9683,1.6349,1.3810,4.2222,1.8889,2.4127,2.4286,1.0000,3.3492,2.3810,1.9206
V4_Steak,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V5_Spoon,1.9683,1.2857,4.0476,2.1905,1.9206,5.1905,2.4603,1.6349,1.7143,5.3651,1.8730,2.9206,1.8571,1.3810,1.7619,3.4921,1.3333,2.4921,2.2222,1.0000,2.5556,1.6032,1.5873
V6_Soup,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V7_Teapot,2.3611,1.6944,1.1944,3.5833,1.1944,1.1389,1.0000,1.2778,1.1389,1.0000,3.7222,1.8611,3.8611,1.5556,1.1389,1.8056,3.0833,1.5833,2.7500,1.1389,1.0000,1.1389,1.0000
V8_Salt,2.2121,1.2424,2.1818,3.7273,3.4848,1.6970,1.3333,2.0606,1.9697,1.8485,2.4848,4.6061,1.4242,1.4848,3.5758,2.8485,1.0000,1.0000,1.6364,1.0000,1.0000,1.3333,1.6061
V9_Pepper Grinder,1.2500,1.5000,1.5000,3.2500,1.2500,1.0000,1.7500,1.0833,1.5000,1.0000,3.9167,3.5000,3.2500,1.0000,1.5833,1.9167,1.0000,1.0000,2.8333,1.2500,1.0000,1.2500,1.3333
V10_Pot,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
