,P0_selfie stick (telescopic metal pole with phone mount and black handle),P1_red Coca-Cola soda can,P2_white mini stapler,P3_yellow bag of Japanese puffed peanut snack (うすピーナ),P4_silver iMac desktop computer with black screen and aluminum stand,P5_small yellow ceramic pot holding a green succulent plant,P6_empty clear wine glass,P7_white and gray camouflage-patterned gaming controller,P8_compact black mechanical keyboard with one red key cap,P9_white Apple Magic Mouse,P10_blue retractable ballpoint pen,P11_black upholstered office chair with armrests,P12_large black rectangular office desk surface,P13_white plastic spray bottle with translucent body,P14_green and yellow scouring sponge,P15_wooden-handled brush with black bristles,P16_pair of scissors with black and yellow handles,P17_cylindrical metal calibration weight labeled M 500g,P18_plush green turtle-shell shaped cushion with white rim,P19_blue two-seater bench with black metal armrests,P20_transparent umbrella with white curved handle,P21_large beige fabric bean bag
P0_selfie stick (telescopic metal pole with phone mount and black handle),"0(0,0,0)","2.7144176165949063(5,2,2)","1.5874010519681994(4,1,1)","3.7797631496846193(6,3,3)","1.8171205928321397(6,1,1)","4.308869380063767(5,4,4)","4.308869380063767(4,5,4)","2.2894284851066637(6,2,1)","3.3019272488946263(6,3,2)","2.7144176165949063(5,2,2)","1.8171205928321397(3,2,1)","3.7797631496846193(6,3,3)","1.912931182772389(7,1,1)","3.1072325059538586(5,3,2)","3.9148676411688634(6,5,2)","3.1072325059538586(5,2,3)","1.4422495703074083(3,1,1)","1.7099759466766968(5,1,1)","3.3019272488946263(6,3,2)","3.9790572078963917(7,3,3)","2.0(4,2,1)","3.3019272488946263(6,3,2)"
P1_red Coca-Cola soda can,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_white mini stapler,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_yellow bag of Japanese puffed peanut snack (うすピーナ),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_silver iMac desktop computer with black screen and aluminum stand,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_small yellow ceramic pot holding a green succulent plant,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_empty clear wine glass,"2.7144176165949063(5,2,2)","4.160167646103808(6,4,3)","2.5198420997897464(4,2,2)","2.8844991406148166(6,1,4)","2.0(4,2,1)","2.46621207433047(5,3,1)","0(0,0,0)","2.7144176165949063(5,2,2)","4.160167646103808(6,4,3)","2.7144176165949063(5,2,2)","1.8171205928321397(3,1,2)","3.9148676411688634(5,3,4)","2.7589241763811203(7,3,1)","2.8844991406148166(4,2,3)","3.634241185664279(6,2,4)","2.8844991406148166(6,1,4)","2.5198420997897464(4,2,2)","1.7099759466766968(5,1,1)","2.8844991406148166(6,1,4)","4.379519139887889(7,3,4)","1.8171205928321397(3,1,2)","2.8844991406148166(6,1,4)"
P7_white and gray camouflage-patterned gaming controller,"2.5198420997897464(4,2,2)","3.634241185664279(4,4,3)","2.2894284851066637(2,3,2)","4.93242414866094(6,5,4)","1.7099759466766968(5,1,1)","2.2894284851066637(3,2,2)","3.1748021039363987(2,4,4)","0(0,0,0)","4.217163326508746(5,5,3)","2.6207413942088964(3,3,2)","2.0(2,2,2)","4.160167646103808(6,4,3)","1.7099759466766968(5,1,1)","3.3019272488946263(4,3,3)","5.313292845913055(5,6,5)","2.6207413942088964(3,3,2)","2.0(2,2,2)","1.5874010519681994(4,1,1)","4.160167646103808(6,4,3)","4.5788569702133275(6,4,4)","3.3019272488946263(3,4,3)","4.379519139887889(7,4,3)"
P8_compact black mechanical keyboard with one red key cap,"1.8171205928321397(3,2,1)","2.8844991406148166(4,3,2)","1.5874010519681994(2,2,1)","3.4199518933533937(5,4,2)","1.4422495703074083(3,1,1)","2.8844991406148166(4,3,2)","3.0(3,3,3)","3.1072325059538586(5,3,2)","0(0,0,0)","2.5198420997897464(4,2,2)","1.2599210498948732(2,1,1)","2.2894284851066637(6,1,2)","1.912931182772389(7,1,1)","2.5198420997897464(4,2,2)","3.1072325059538586(5,2,3)","1.8171205928321397(3,2,1)","1.2599210498948732(2,1,1)","1.4422495703074083(3,1,1)","2.8844991406148166(6,2,2)","1.8171205928321397(6,1,1)","1.5874010519681994(2,2,1)","3.3019272488946263(6,3,2)"
P9_white Apple Magic Mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
