,P0_selfie stick (telescopic metal pole with phone mount and black handle),P1_red Coca-Cola soda can,P2_white mini stapler,P3_yellow bag of Japanese puffed peanut snack (うすピーナ),P4_silver iMac desktop computer with black screen and aluminum stand,P5_small yellow ceramic pot holding a green succulent plant,P6_empty clear wine glass,P7_white and gray camouflage-patterned gaming controller,P8_compact black mechanical keyboard with one red key cap,P9_white Apple Magic Mouse,P10_blue retractable ballpoint pen,P11_black upholstered office chair with armrests,P12_large black rectangular office desk surface,P13_white plastic spray bottle with translucent body,P14_green and yellow scouring sponge,P15_wooden-handled brush with black bristles,P16_pair of scissors with black and yellow handles,P17_cylindrical metal calibration weight labeled M 500g,P18_plush green turtle-shell shaped cushion with white rim,P19_blue two-seater bench with black metal armrests,P20_transparent umbrella with white curved handle,P21_large beige fabric bean bag
P0_selfie stick (telescopic metal pole with phone mount and black handle),"0(0,0,0)","1.5874010519681994(2,2,1)","2.2894284851066637(2,3,2)","5.241482788417793(4,6,6)","1.4422495703074083(3,1,1)","3.3019272488946263(4,3,3)","1.2599210498948732(2,1,1)","2.0(4,2,1)","3.9148676411688634(5,4,3)","1.4422495703074083(3,1,1)","1.2599210498948732(1,1,2)","5.64621617328617(6,6,5)","1.8171205928321397(6,1,1)","2.2894284851066637(2,3,2)","4.93242414866094(4,6,5)","4.93242414866094(4,5,6)","1.0(1,1,1)","1.0(1,1,1)","6.316359597656378(7,6,6)","4.93242414866094(6,5,4)","2.6207413942088964(3,3,2)","6.649399761150975(7,7,6)"
P1_red Coca-Cola soda can,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_white mini stapler,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_yellow bag of Japanese puffed peanut snack (うすピーナ),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_silver iMac desktop computer with black screen and aluminum stand,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_small yellow ceramic pot holding a green succulent plant,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_empty clear wine glass,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_white and gray camouflage-patterned gaming controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_compact black mechanical keyboard with one red key cap,"2.154434690031884(5,2,1)","1.8171205928321397(3,2,1)","2.6207413942088964(3,3,2)","4.93242414866094(6,5,4)","1.7099759466766968(5,1,1)","2.0(4,2,1)","1.2599210498948732(2,1,1)","3.1072325059538586(5,3,2)","0(0,0,0)","1.8171205928321397(3,2,1)","1.2599210498948732(2,1,1)","5.64621617328617(6,6,5)","1.7099759466766968(5,1,1)","1.8171205928321397(3,2,1)","5.313292845913055(5,6,5)","5.0(5,5,5)","1.2599210498948732(2,1,1)","1.2599210498948732(2,1,1)","5.999999999999999(6,6,6)","6.316359597656378(7,6,6)","1.8171205928321397(3,2,1)","6.316359597656378(7,6,6)"
P9_white Apple Magic Mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_blue retractable ballpoint pen,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_black upholstered office chair with armrests,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_large black rectangular office desk surface,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_white plastic spray bottle with translucent body,"2.0(2,2,2)","1.0(1,1,1)","1.0(1,1,1)","3.9148676411688634(3,4,5)","1.5874010519681994(4,1,1)","2.6207413942088964(2,3,3)","1.0(1,1,1)","1.5874010519681994(2,2,1)","2.8844991406148166(4,3,2)","1.2599210498948732(2,1,1)","1.0(1,1,1)","5.0(5,5,5)","1.5874010519681994(4,1,1)","0(0,0,0)","4.217163326508746(3,5,5)","4.160167646103808(3,6,4)","1.0(1,1,1)","1.0(1,1,1)","5.313292845913055(5,5,6)","4.641588833612778(5,5,4)","2.0(2,2,2)","5.999999999999999(6,6,6)"
P14_green and yellow scouring sponge,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_wooden-handled brush with black bristles,"2.6207413942088964(3,3,2)","2.154434690031884(5,2,1)","1.5874010519681994(2,2,1)","4.93242414866094(6,5,4)","1.7099759466766968(5,1,1)","3.634241185664279(4,4,3)","1.4422495703074083(3,1,1)","2.0(2,2,2)","3.3019272488946263(6,3,2)","1.7099759466766968(5,1,1)","1.5874010519681994(2,2,1)","5.517848352762241(7,6,4)","1.8171205928321397(6,1,1)","2.2894284851066637(3,2,2)","5.313292845913055(6,5,5)","0(0,0,0)","1.5874010519681994(2,2,1)","1.4422495703074083(3,1,1)","5.943921952763129(7,6,5)","5.1924941018511035(7,5,4)","3.0(3,3,3)","5.943921952763129(7,6,5)"
