,P0_selfie stick (telescopic metal pole with phone mount and black handle),P1_red Coca-Cola soda can,P2_white mini stapler,P3_yellow bag of Japanese puffed peanut snack (うすピーナ),P4_silver iMac desktop computer with black screen and aluminum stand,P5_small yellow ceramic pot holding a green succulent plant,P6_empty clear wine glass,P7_white and gray camouflage-patterned gaming controller,P8_compact black mechanical keyboard with one red key cap,P9_white Apple Magic Mouse,P10_blue retractable ballpoint pen,P11_black upholstered office chair with armrests,P12_large black rectangular office desk surface,P13_white plastic spray bottle with translucent body,P14_green and yellow scouring sponge,P15_wooden-handled brush with black bristles,P16_pair of scissors with black and yellow handles,P17_cylindrical metal calibration weight labeled M 500g,P18_plush green turtle-shell shaped cushion with white rim,P19_blue two-seater bench with black metal armrests,P20_transparent umbrella with white curved handle,P21_large beige fabric bean bag
V0_Firewood,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V1_Axe,4.3333,1.8333,1.5000,1.0000,1.5000,2.3333,2.6667,2.6667,3.0000,1.3333,1.5000,1.5000,1.1667,5.1667,1.0000,2.8333,2.0000,2.5000,1.5000,2.1667,2.5000,1.8333
V2_ChoppingBlock,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V3_Watermelon,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V4_Worktable,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V5_Sickle,4.8333,2.8333,2.1667,1.0000,1.6667,3.0000,2.8333,3.1667,2.5000,1.8333,1.6667,1.8333,1.1667,4.6667,1.0000,2.6667,2.1667,3.6667,1.8333,1.1667,4.3333,1.3333
V6_Hoe,4.0000,1.0000,1.0000,1.0000,1.1667,1.6667,1.5000,1.1667,2.0000,1.0000,1.5000,2.1667,1.0000,2.6667,1.0000,2.5000,1.0000,1.1667,1.1667,1.5000,4.3333,1.3333
V7_Barrel 01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V8_Pitchfork,4.1667,1.0000,1.0000,1.0000,1.5000,1.0000,1.1667,1.1667,1.8333,1.0000,1.1667,1.1667,1.0000,2.1667,1.0000,2.6667,1.0000,1.0000,1.0000,1.0000,5.1667,1.0000
V9_Wooden Box Pile,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V10_Haystack,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V11_WheelBarrow,2.0333,1.0000,1.0000,1.0000,1.7000,1.0000,1.0000,3.0000,2.6000,1.0000,1.0000,5.9000,1.4333,1.0333,1.0000,2.0000,1.0000,1.0000,1.7000,3.0667,1.3667,1.3000
V12_Handcart,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
