item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_accuracy_score,ft_parse_success,base_4o_predicted_rating,base_4o_accuracy_score,base_4o_parse_success,base_mini_predicted_rating,base_mini_accuracy_score,base_mini_parse_success,ft_error,base_4o_error,base_mini_error,winner
0,Chest,Stainless Steel Water Bottle,Inertia,2,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,2,1.0,True,,0.0,False,3,0,,base_4o
1,Chest,Stainless Steel Water Bottle,Interactivity,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,2,0.9,True,,0.0,False,4,1,,base_4o
2,Chest,Stainless Steel Water Bottle,Outline,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,2,0.9,True,2,0.9,True,,0.0,False,1,1,,tie
3,Chest,Stainless Steel Water Bottle,Texture,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,3,0.5,True,2,0.0,True,,0.0,False,2,3,,fine_tuned
4,Chest,Stainless Steel Water Bottle,Hardness,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,1.0,True,6,0.9,True,,0.0,False,0,1,,fine_tuned
5,Chest,Stainless Steel Water Bottle,Temperature,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,3,0.5,True,3,0.5,True,,0.0,False,2,2,,tie
6,Chest,Game Controller,Inertia,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,0.0,True,3,0.9,True,,0.0,False,3,1,,base_4o
7,Chest,Game Controller,Interactivity,4,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,0.9,True,3,0.9,True,,0.0,False,1,1,,tie
8,Chest,Game Controller,Outline,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",4,0.5,True,2,1.0,True,,0.0,False,2,0,,base_4o
9,Chest,Game Controller,Texture,4,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,0.9,True,3,0.9,True,,0.0,False,1,1,,tie
10,Chest,Game Controller,Hardness,5,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",5,1.0,True,5,1.0,True,,0.0,False,0,0,,tie
11,Chest,Game Controller,Temperature,2,Players would open the lid to reveal storage space for holding items.,"Grip the controller body as the chest and use the other hand to lift the battery-door ridge with a thumb, experiencing a hinged plastic panel and hard stop similar to a lid.",4,0.5,True,3,0.9,True,,0.0,False,2,1,,base_4o
12,Chest,Sewing Tape Measure,Inertia,4,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,5,0.9,True,2,0.5,True,,0.0,False,1,2,,fine_tuned
13,Chest,Sewing Tape Measure,Interactivity,3,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,5,0.5,True,2,0.9,True,,0.0,False,2,1,,base_4o
14,Chest,Sewing Tape Measure,Outline,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,1.0,True,2,1.0,True,,0.0,False,0,0,,tie
15,Chest,Sewing Tape Measure,Texture,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,1.0,True,2,1.0,True,,0.0,False,0,0,,tie
