item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_accuracy_score,ft_parse_success,base_predicted_rating,base_accuracy_score,base_parse_success,ft_error,base_error,winner
0,Chest,Stainless Steel Water Bottle,Inertia,2,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,2.0,1.0,True,3,0.0,base
1,Chest,Stainless Steel Water Bottle,Interactivity,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,,0.0,False,4,,tie
2,Chest,Stainless Steel Water Bottle,Outline,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,2,0.7,True,1.0,1.0,True,1,0.0,base
3,Chest,Stainless Steel Water Bottle,Texture,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,2,0.0,True,2.0,0.0,True,3,3.0,tie
4,Chest,Stainless Steel Water Bottle,Hardness,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,1.0,True,5.0,1.0,True,0,0.0,tie
5,Chest,Stainless Steel Water Bottle,Temperature,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,4,0.7,True,5.0,1.0,True,1,0.0,base
6,Double Slider,Pillow,Inertia,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",5,1.0,True,2.0,0.0,True,0,3.0,fine_tuned
7,Double Slider,Pillow,Interactivity,4,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",5,0.7,True,,0.0,False,1,,fine_tuned
8,Double Slider,Pillow,Outline,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.0,True,2.0,0.0,True,3,3.0,tie
9,Double Slider,Pillow,Texture,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,2.0,0.7,True,1,1.0,tie
10,Double Slider,Pillow,Hardness,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,1.0,1.0,True,1,0.0,base
11,Double Slider,Pillow,Temperature,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,2.0,0.7,True,1,1.0,tie
12,Dropper,Pillow,Inertia,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,0.0,True,2.0,1.0,True,3,0.0,base
13,Dropper,Pillow,Interactivity,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,1.0,0.0,True,0,4.0,fine_tuned
14,Dropper,Pillow,Outline,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",2,1.0,True,,0.0,False,0,,fine_tuned
15,Dropper,Pillow,Texture,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",3,0.7,True,2.0,1.0,True,1,0.0,base
16,Dropper,Pillow,Hardness,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,2.0,0.0,True,0,3.0,fine_tuned
17,Dropper,Pillow,Temperature,4,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",3,0.7,True,1.0,0.0,True,1,3.0,fine_tuned
18,Hammer,Sewing Tape Measure,Inertia,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",3,0.7,True,1.0,0.7,True,1,1.0,tie
