item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_accuracy_score,ft_parse_success,base_4o_predicted_rating,base_4o_accuracy_score,base_4o_parse_success,base_mini_predicted_rating,base_mini_accuracy_score,base_mini_parse_success,ft_error,base_4o_error,base_mini_error,winner
0,Chest,Portable Stapler,Inertia,3,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,2,0.9,True,2,0.9,True,1,0.5,True,1,1,2,fine_tuned
1,Chest,Portable Stapler,Interactivity,5,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,6,0.9,True,4,0.9,True,3,0.5,True,1,1,2,fine_tuned
2,Chest,Portable Stapler,Outline,2,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,3,0.9,True,3,0.9,True,3,0.9,True,1,1,1,fine_tuned
3,Chest,Portable Stapler,Texture,4,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,3,0.9,True,2,0.5,True,2,0.5,True,1,2,2,fine_tuned
4,Chest,Portable Stapler,Hardness,5,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,5,1.0,True,3,0.5,True,5,1.0,True,0,2,0,fine_tuned
5,Chest,Portable Stapler,Temperature,6,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,4,0.5,True,3,0.0,True,6,1.0,True,2,3,0,base_mini
6,Chest,Sewing Tape Measure,Inertia,4,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,0.5,True,2,0.5,True,1,0.0,True,2,2,3,fine_tuned
7,Chest,Sewing Tape Measure,Interactivity,3,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,5,0.5,True,2,0.9,True,4,0.9,True,2,1,1,base_4o
8,Chest,Sewing Tape Measure,Outline,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,1.0,True,2,1.0,True,1,0.9,True,0,0,1,fine_tuned
9,Chest,Sewing Tape Measure,Texture,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,1.0,True,2,1.0,True,1,0.9,True,0,0,1,fine_tuned
10,Chest,Sewing Tape Measure,Hardness,3,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,0.9,True,2,0.9,True,3,1.0,True,1,1,0,base_mini
11,Chest,Sewing Tape Measure,Temperature,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,1.0,True,2,1.0,True,4,0.5,True,0,0,2,fine_tuned
12,Chest,Mechanical Keyboard,Inertia,6,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",5,0.9,True,3,0.0,True,3,0.0,True,1,3,3,fine_tuned
13,Chest,Mechanical Keyboard,Interactivity,5,Players would open the lid to reveal storage space for holding items.,"Hook three fingers under one narrow edge of the keyboard and pivot it upward like a lid while the opposite edge stays on the desk, providing a hard, rigid surface and moderate weight similar to a small chest top.",5,1.0,True,3,0.5,True,5,1.0,True,0,2,0,fine_tuned
