item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_parse_success,base_4o_predicted_rating,base_4o_parse_success,base_mini_predicted_rating,base_mini_parse_success,ft_abs_error,base_4o_abs_error,base_mini_abs_error
0,Chest,Portable Stapler,Inertia,3,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,2,True,2,True,1,True,1,1,2
1,Chest,Portable Stapler,Interactivity,5,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,6,True,4,True,3,True,1,1,2
2,Chest,Portable Stapler,Outline,2,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,3,True,3,True,3,True,1,1,1
3,Chest,Portable Stapler,Texture,4,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,3,True,2,True,2,True,1,2,2
4,Chest,Portable Stapler,Hardness,5,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,5,True,3,True,5,True,0,2,0
5,Chest,Portable Stapler,Temperature,6,Players would open the lid to reveal storage space for holding items.,Place one hand on the stapler’s base (chest body) and grasp the top lever as the lid. Rotate the lever upward on its hinge.,4,True,3,True,6,True,2,3,0
6,Chest,Sewing Tape Measure,Inertia,4,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,True,2,True,1,True,2,2,3
7,Chest,Sewing Tape Measure,Interactivity,3,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,5,True,2,True,4,True,2,1,1
8,Chest,Sewing Tape Measure,Outline,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,True,2,True,1,True,0,0,1
9,Chest,Sewing Tape Measure,Texture,2,Players would open the lid to reveal storage space for holding items.,Hold the casing steady with one hand and pull the tape out with the other. The tape’s spring tension while retracting feels like the chest lid pulling itself closed.,2,True,2,True,1,True,0,0,1
