,P0_gray and white camouflage wireless game controller,P1_pair of light brown wooden chopsticks,P2_small black streaming media remote control,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,P6_dark grey ergonomic vertical computer mouse,P7_green bag of Lay's sour cream & onion potato chips,P8_white folded paper origami shape,P9_black hard-shell rolling suitcase with ribbed texture and top handle,P10_wooden-top bedside table with black frame,P11_round gray ceramic plate,P12_purple neoprene-coated dumbbell,P13_small succulent plant in a ribbed yellow pot,P14_glass pepper grinder with black cap,P15_turquoise toothbrush with white bristles,P16_blue Arduino Uno circuit board,P17_6-string acoustic guitar with natural wood finish and cutaway,P18_blue upholstered two-seater couch with black metal frame,P19_magnetic whiteboard with silver tray,P20_rolled white paper scroll
P0_gray and white camouflage wireless game controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_pair of light brown wooden chopsticks,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_small black streaming media remote control,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_clear disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_ripe yellow banana,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,"2.8844991406148166(6,2,2)","2.0(4,2,1)","3.3019272488946263(6,3,2)","4.160167646103808(6,4,3)","5.999999999999999(6,6,6)","0(0,0,0)","3.3019272488946263(6,3,2)","5.593444710406984(7,5,5)","1.8171205928321397(3,2,1)","1.912931182772389(7,1,1)","1.912931182772389(7,1,1)","1.8171205928321397(6,1,1)","3.3019272488946263(6,2,3)","2.6207413942088964(3,3,2)","1.7099759466766968(5,1,1)","3.1748021039363987(4,4,2)","1.7099759466766968(5,1,1)","3.1072325059538586(5,3,2)","5.943921952763129(7,6,5)","1.8171205928321397(6,1,1)","4.308869380063767(5,4,4)"
P6_dark grey ergonomic vertical computer mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_green bag of Lay's sour cream & onion potato chips,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_white folded paper origami shape,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_black hard-shell rolling suitcase with ribbed texture and top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
