,P0_gray and white camouflage wireless game controller,P1_pair of light brown wooden chopsticks,P2_small black streaming media remote control,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,P6_dark grey ergonomic vertical computer mouse,P7_green bag of Lay's sour cream & onion potato chips,P8_white folded paper origami shape,P9_black hard-shell rolling suitcase with ribbed texture and top handle,P10_wooden-top bedside table with black frame,P11_round gray ceramic plate,P12_purple neoprene-coated dumbbell,P13_small succulent plant in a ribbed yellow pot,P14_glass pepper grinder with black cap,P15_turquoise toothbrush with white bristles,P16_blue Arduino Uno circuit board,P17_6-string acoustic guitar with natural wood finish and cutaway,P18_blue upholstered two-seater couch with black metal frame,P19_magnetic whiteboard with silver tray,P20_rolled white paper scroll
P0_gray and white camouflage wireless game controller,"0(0,0,0)","5.313292845913055(5,6,5)","5.999999999999999(6,6,6)","5.64621617328617(6,6,5)","5.0(5,5,5)","4.93242414866094(6,4,5)","5.999999999999999(6,6,6)","5.313292845913055(6,5,5)","5.999999999999999(6,6,6)","4.308869380063767(5,4,4)","3.9999999999999996(4,4,4)","4.93242414866094(6,5,4)","5.64621617328617(6,6,5)","5.313292845913055(6,5,5)","5.999999999999999(6,6,6)","5.999999999999999(6,6,6)","5.313292845913055(6,5,5)","3.9999999999999996(4,4,4)","4.308869380063767(4,5,4)","3.9999999999999996(4,4,4)","5.999999999999999(6,6,6)"
P1_pair of light brown wooden chopsticks,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_small black streaming media remote control,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_clear disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_ripe yellow banana,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_white minimalist LED desk lamp with a slim horizontal lighting bar and red cable,"5.64621617328617(5,6,6)","5.313292845913055(6,5,5)","5.999999999999999(6,6,6)","5.0(5,5,5)","5.64621617328617(5,6,6)","0(0,0,0)","5.0(5,5,5)","5.313292845913055(6,5,5)","5.999999999999999(6,6,6)","4.641588833612778(4,5,5)","3.9999999999999996(4,4,4)","5.0(5,5,5)","4.641588833612778(5,4,5)","3.9999999999999996(4,4,4)","5.64621617328617(6,5,6)","4.5788569702133275(6,4,4)","5.64621617328617(5,6,6)","3.9148676411688634(3,4,5)","4.641588833612778(4,5,5)","4.641588833612778(5,5,4)","5.999999999999999(6,6,6)"
P6_dark grey ergonomic vertical computer mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_green bag of Lay's sour cream & onion potato chips,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_white folded paper origami shape,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_black hard-shell rolling suitcase with ribbed texture and top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
