,P0_yellow ripe banana,P1_stack of neon green sticky notes,P2_white paper airplane,P3_rolled-up white paper tube,P4_gray and white camouflage-patterned game controller,P5_light gray round dinner plate,P6_black TV or media remote control,P7_dark gray ergonomic wireless computer mouse,P8_clear plastic drinking cup,P9_teal plastic toothbrush,P10_black ribbed hard-shell suitcase,P11_wooden side table with light brown wood grain,P12_white modern desk lamp with circular base,P13_green bag of Lay’s Sour Cream & Onion chips,P14_yellow ribbed ceramic pot with a small green succulent plant,P15_small purple neoprene dumbbell,P16_black pepper grinder with transparent body,P17_bamboo drinking straw lying diagonally,P18_blue Arduino Uno microcontroller board,P19_acoustic dreadnought guitar with natural wood finish and black pickguard,P20_blue upholstered two-seater sofa with black metal armrests,P21_white dry-erase board mounted on the wall
V0_Hammer,1.6444,1.0000,1.0000,2.9111,1.8889,1.7111,2.8222,1.3556,1.1556,1.9333,2.2222,1.3556,5.8444,1.0000,1.8889,3.3778,3.6889,1.9333,1.0000,4.2222,1.0000,1.0000
V1_Lightsaber,2.2157,1.1176,1.0588,4.0588,2.5882,2.0588,3.0000,2.0392,2.0000,1.8627,1.7451,1.2353,3.8039,1.2745,3.0784,4.1961,4.8235,1.7255,1.3529,1.9804,1.3137,1.9020
V2_Gold Bar,1.4762,2.2857,1.0000,1.0000,2.4286,3.1429,2.4762,1.9048,1.0000,1.0000,1.7143,1.0000,3.7143,1.0000,3.0000,4.7143,2.0476,1.0000,1.7619,1.7143,1.0000,1.0000
V3_Double Slider,1.7778,2.2222,1.0000,4.4444,2.8889,2.1111,3.5556,2.5556,2.2222,2.7778,4.0000,1.6667,4.1111,1.0000,2.5556,4.6667,3.8889,2.3333,1.5556,2.5556,1.4444,2.4444
V4_Canvas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V5_Brush,2.0476,1.7143,3.4762,3.6667,1.0000,1.0000,2.3810,1.2857,2.6667,6.0000,1.0000,1.0000,2.8571,1.9048,1.8571,1.5714,2.7619,6.8571,1.5714,1.7619,1.0000,1.1905
V6_Dropper,2.4848,2.8485,2.9697,3.0909,3.8485,1.0000,3.3939,2.2424,4.7576,4.3939,2.3030,1.0000,1.2727,4.3333,2.8485,2.6970,1.9394,2.9091,2.0303,1.2424,2.8485,1.0000
V7_Slime,2.2500,1.9167,1.5833,1.5000,2.0417,1.0000,1.9167,1.8333,2.4583,2.9167,1.4583,1.8750,1.1250,3.1250,2.2917,2.4167,1.4583,1.6250,2.1667,2.9167,3.0833,1.2500
V8_Camera,1.8571,2.1429,1.4762,2.0476,5.8095,1.0000,4.7143,4.9524,1.4286,1.4762,2.7619,1.0000,1.9048,1.7143,1.6190,1.9048,2.3810,1.0000,3.2857,1.9048,1.4762,1.0000
V9_Desk,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V10_Valve,1.4872,1.5128,1.0000,2.8205,2.2308,3.9487,1.4872,1.2564,2.0000,1.0000,3.0256,1.0769,3.5897,1.8462,3.2564,2.4103,4.0513,1.0000,1.0000,2.7692,1.0000,1.0769
V11_Common Pleco,4.6250,2.7500,2.0000,3.1458,2.1875,2.9375,2.0417,2.7708,4.2500,2.7708,1.3750,1.5833,2.6042,2.2500,1.1458,3.9375,2.8333,2.2083,1.1875,3.2708,1.8542,3.1875
V12_Big Red Button,1.2857,1.9524,1.1429,2.6190,3.2381,1.9048,3.0952,3.2857,3.6190,1.6667,4.5238,1.8571,2.4762,2.3810,1.1905,1.8571,2.4286,1.4286,1.6190,2.2381,3.7143,1.8571
