,P0_small stack of neon green sticky notes,P1_rolled white poster or paper tube,P2_folded white paper airplane,P3_ripe yellow banana,P4_wireless game controller with gray camouflage pattern,P5_empty grey ceramic plate,P6_black remote control with buttons,P7_wireless computer mouse (dark grey),P8_transparent disposable plastic cup,P9_teal toothbrush with white bristles,P10_black hard-shell suitcase with top handle,"P11_green Lay's sour cream & onion potato chips bag, partially opened",P12_white minimalist desk lamp with red cord,P13_flat-screen TV,P14_small green potted plant in a ribbed yellow ceramic pot,P15_purple neoprene-coated dumbbell,P16_single wooden chopstick or bamboo stick,P17_clear glass pepper grinder with a black lid,P18_Arduino Uno microcontroller board with USB connector,P19_6-string cutaway acoustic guitar with light wood top and red sides,P20_blue upholstered bench seat with black metal frame,P21_whiteboard with a silver metal tray at the bottom
V0_Hammer,1.0000,3.5556,1.0000,1.8444,1.7111,1.5333,2.6444,1.5333,1.1556,2.6000,2.2444,1.0000,4.2667,1.5333,1.5333,4.4222,2.2444,4.0444,1.0000,4.5111,1.3556,1.6889
V1_Lightsaber,1.5882,3.6275,1.1176,2.8824,2.7843,2.2549,3.0588,2.2353,2.1176,2.0392,1.7451,1.3725,3.5294,1.4118,2.3922,4.0588,1.8431,5.1373,1.2941,2.3137,1.9804,2.0196
V2_Gold Bar,1.4762,1.4762,1.0000,1.9524,2.4286,2.6667,2.7619,1.5714,1.0000,1.0000,1.5714,1.0000,2.6667,1.0000,3.3810,4.7143,1.0000,2.0476,1.5714,1.4762,1.0000,1.0000
V3_Double Slider,1.5556,3.7778,1.0000,1.5556,2.1111,1.4444,2.5556,2.0000,1.4444,2.1111,3.6667,1.0000,3.1111,1.3333,1.8889,4.5556,2.2222,3.0000,1.0000,2.3333,2.4444,1.7778
V4_Canvas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V5_Brush,2.5714,2.3810,3.1905,2.0000,1.0000,1.0000,2.8571,1.5714,3.1429,6.0000,1.0000,1.7143,2.7143,1.0000,1.6667,1.5714,7.0000,2.4286,1.7143,1.1905,1.0000,1.4286
V6_Dropper,3.2222,1.7460,2.8254,2.4286,2.2222,1.0000,2.7619,2.1429,5.0000,3.9048,2.5873,3.3968,1.4444,1.1111,2.2381,1.5079,3.0952,1.6984,2.3492,1.8571,3.3175,1.1111
V7_Camera,1.8571,1.4762,1.0000,1.7143,5.7619,1.0000,3.8571,5.0952,1.2857,1.0000,1.8095,1.0000,1.5238,1.0000,1.2857,1.6667,1.0000,2.2381,3.2857,1.6667,1.0000,1.0000
V8_Desk,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
V9_Valve,1.0000,2.7436,1.0000,1.4872,2.0000,3.4615,1.0769,1.0000,1.8205,1.0000,2.1795,1.2564,4.3590,1.8462,2.2564,2.4872,1.0769,3.3590,1.0000,2.3333,1.3333,1.4103
V10_Common Pleco,2.3333,3.8542,2.1875,3.9583,4.1458,4.5000,3.7083,4.4375,3.8750,4.0000,2.9375,1.7708,4.4375,4.6458,2.8958,4.1250,3.8125,4.5000,2.3750,4.6875,1.3750,4.9792
V11_Big Red Button,2.2037,2.0370,1.0000,1.1852,2.9815,2.9259,2.7037,3.2593,2.6111,2.2963,2.0185,1.8333,3.3333,1.8333,2.6296,3.1111,1.8333,2.6667,1.9074,2.2037,2.9074,2.0000
V12_Slime,2.0000,1.3333,2.3333,3.3333,2.6667,1.0000,3.0000,2.0000,3.0000,4.3333,1.6667,3.3333,1.0000,1.0000,3.3333,2.3333,2.3333,1.3333,3.0000,3.0000,3.6667,1.0000
