,P0_white and gray camouflage-patterned game controller,P1_black rectangular media remote control,P2_pair of light wood chopsticks,P3_clear disposable plastic cup,P4_ripe yellow banana,P5_white minimalist desk lamp with round base and red cord accent,P6_black wireless computer mouse,P7_green Lay's Sour Cream & Onion potato chip bag,P8_white folded paper airplane,P9_black rectangular desk surface,P10_black hard-shell suitcase with top handle,P11_small wooden cabinet or side table,P12_gray round plate,P13_purple dumbbell hand weight,P14_small succulent plant in a yellow ribbed pot,P15_black pepper grinder,P16_teal toothbrush with white bristles,P17_blue Arduino Uno circuit board,P18_blue upholstered two-seat bench,P19_green handheld leaf blower,P20_coil of green nylon rope
P0_white and gray camouflage-patterned game controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_black rectangular media remote control,"2.5198420997897464(4,2,2)","0(0,0,0)","2.2894284851066637(2,3,2)","3.3019272488946263(3,4,3)","3.5568933044900626(3,5,3)","2.5198420997897464(4,2,2)","2.7144176165949063(5,2,2)","4.481404746557164(6,5,3)","2.6207413942088964(2,3,3)","3.4760266448864496(7,3,2)","3.7797631496846193(6,3,3)","3.0365889718756622(7,2,2)","2.154434690031884(5,2,1)","2.8844991406148166(2,4,3)","3.5568933044900626(5,3,3)","2.5198420997897464(4,2,2)","2.5198420997897464(1,4,4)","2.2894284851066637(3,2,2)","5.943921952763129(7,6,5)","2.7144176165949063(5,2,2)","3.634241185664279(3,4,4)"
P2_pair of light wood chopsticks,"2.2894284851066637(3,2,2)","3.634241185664279(4,3,4)","0(0,0,0)","2.6207413942088964(2,3,3)","3.9148676411688634(3,4,5)","2.5198420997897464(4,2,2)","2.2894284851066637(3,2,2)","5.0(5,5,5)","2.6207413942088964(3,3,2)","2.4101422641752297(7,1,2)","2.8844991406148166(6,2,2)","2.2894284851066637(6,1,2)","1.7099759466766968(5,1,1)","2.2894284851066637(2,2,3)","1.5874010519681994(2,1,2)","1.2599210498948732(2,1,1)","2.924017738212866(1,5,5)","1.2599210498948732(2,1,1)","5.593444710406984(7,5,5)","2.7144176165949063(5,2,2)","3.3019272488946263(3,3,4)"
P3_clear disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_ripe yellow banana,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_white minimalist desk lamp with round base and red cord accent,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_black wireless computer mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_green Lay's Sour Cream & Onion potato chip bag,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_white folded paper airplane,"3.3019272488946263(6,3,2)","2.154434690031884(5,2,1)","1.8171205928321397(3,2,1)","2.5198420997897464(4,2,2)","4.217163326508746(5,5,3)","3.3019272488946263(6,3,2)","3.1072325059538586(5,3,2)","4.160167646103808(6,3,4)","0(0,0,0)","3.0365889718756622(7,2,2)","3.634241185664279(6,4,2)","3.0365889718756622(7,2,2)","2.8844991406148166(6,2,2)","3.634241185664279(4,4,3)","3.4199518933533937(5,4,2)","2.8844991406148166(4,3,2)","1.5874010519681994(2,2,1)","2.2894284851066637(3,4,1)","4.160167646103808(6,3,4)","3.1072325059538586(5,3,2)","3.7797631496846193(3,6,3)"
P9_black rectangular desk surface,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_black hard-shell suitcase with top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_small wooden cabinet or side table,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_gray round plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_purple dumbbell hand weight,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_small succulent plant in a yellow ribbed pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_black pepper grinder,"2.5198420997897464(4,2,2)","3.5568933044900626(5,3,3)","1.5874010519681994(2,2,1)","2.6207413942088964(3,3,2)","3.3019272488946263(3,4,3)","2.5198420997897464(4,2,2)","2.5198420997897464(4,2,2)","4.308869380063767(5,4,4)","2.2894284851066637(2,3,2)","2.7589241763811203(7,1,3)","2.8844991406148166(6,2,2)","2.2894284851066637(6,1,2)","2.154434690031884(5,1,2)","2.8844991406148166(3,4,2)","1.5874010519681994(2,2,1)","0(0,0,0)","3.9148676411688634(3,5,4)","2.080083823051904(3,3,1)","5.64621617328617(6,6,5)","2.5198420997897464(4,2,2)","2.6207413942088964(3,3,2)"
