,P0_black Tesla-branded insulated water bottle with silver lid,P1_yellow UHU adhesive glue tube,P2_3D-printed grey rabbit figurine,P3_yellow McCafé disposable paper cup,P4_small silver calibration weight labeled 'M 500g',P5_rectangular cracker in a transparent wrapper with red accents,P6_green turtle-shell plush cushion with white rim,P7_black collapsible selfie stick,P8_blue box of Pilot washable whiteboard erasers,P9_gray and white camouflage-patterned game controller,P10_metallic silver pen or fine-tip marker,P11_white ping-pong ball with small colored logo
P0_black Tesla-branded insulated water bottle with silver lid,"0(0,0,0)","16(5,6,5)","15(6,5,4)","18(6,6,6)","15(5,5,5)","16(7,7,2)","13(4,4,5)","15(6,5,4)","18(7,6,5)","14(5,5,4)","13(5,5,3)","15(6,5,4)"
P1_yellow UHU adhesive glue tube,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_3D-printed grey rabbit figurine,"17(5,6,6)","13(4,5,4)","0(0,0,0)","17(6,6,5)","16(6,6,4)","15(5,5,5)","11(4,5,2)","16(5,6,5)","15(4,5,6)","13(5,5,3)","13(5,4,4)","16(6,6,4)"
P3_yellow McCafé disposable paper cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_small silver calibration weight labeled 'M 500g',"16(5,6,5)","15(4,5,6)","10(3,3,4)","12(5,4,3)","0(0,0,0)","17(6,6,5)","13(4,6,3)","12(3,5,4)","16(5,5,6)","15(5,5,5)","9(4,3,2)","16(6,6,4)"
P5_rectangular cracker in a transparent wrapper with red accents,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_green turtle-shell plush cushion with white rim,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_black collapsible selfie stick,"15(5,5,5)","15(6,6,3)","10(4,4,2)","15(6,5,4)","12(3,4,5)","20(7,7,6)","11(3,5,3)","0(0,0,0)","14(4,5,5)","11(4,4,3)","10(3,4,3)","13(3,6,4)"
P8_blue box of Pilot washable whiteboard erasers,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_gray and white camouflage-patterned game controller,"17(6,6,5)","16(5,5,6)","11(4,4,3)","16(6,5,5)","14(6,5,3)","16(6,5,5)","7(0,3,4)","8(0,5,3)","8(0,4,4)","0(0,0,0)","8(0,5,3)","8(0,3,5)"
P10_metallic silver pen or fine-tip marker,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_white ping-pong ball with small colored logo,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
