,P0_small stack of neon green sticky notes,P1_rolled white poster or paper tube,P2_folded white paper airplane,P3_ripe yellow banana,P4_wireless game controller with gray camouflage pattern,P5_empty grey ceramic plate,P6_black remote control with buttons,P7_wireless computer mouse (dark grey),P8_transparent disposable plastic cup,P9_teal toothbrush with white bristles,P10_black hard-shell suitcase with top handle,"P11_green Lay's sour cream & onion potato chips bag, partially opened",P12_white minimalist desk lamp with red cord,P13_flat-screen TV,P14_small green potted plant in a ribbed yellow ceramic pot,P15_purple neoprene-coated dumbbell,P16_single wooden chopstick or bamboo stick,P17_clear glass pepper grinder with a black lid,P18_Arduino Uno microcontroller board with USB connector,P19_6-string cutaway acoustic guitar with light wood top and red sides,P20_blue upholstered bench seat with black metal frame,P21_whiteboard with a silver metal tray at the bottom
P0_small stack of neon green sticky notes,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_rolled white poster or paper tube,"5.999999999999999(6,6,6)","0(0,0,0)","4.93242414866094(6,5,4)","5.313292845913055(6,5,5)","4.641588833612778(5,4,5)","5.64621617328617(6,5,6)","4.93242414866094(6,4,5)","5.0(5,5,5)","3.9148676411688634(5,3,4)","4.5788569702133275(6,4,4)","4.93242414866094(4,5,6)","4.641588833612778(5,4,5)","3.9999999999999996(4,4,4)","5.313292845913055(5,6,5)","3.9999999999999996(4,4,4)","5.313292845913055(6,5,5)","4.160167646103808(6,4,3)","4.308869380063767(5,4,4)","4.5788569702133275(6,4,4)","4.308869380063767(4,4,5)","5.64621617328617(5,6,6)","5.313292845913055(5,5,6)"
P2_folded white paper airplane,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_ripe yellow banana,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_wireless game controller with gray camouflage pattern,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_empty grey ceramic plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_black remote control with buttons,"5.999999999999999(6,6,6)","5.313292845913055(5,6,5)","4.308869380063767(4,5,4)","5.313292845913055(5,6,5)","5.313292845913055(5,6,5)","5.64621617328617(5,6,6)","0(0,0,0)","4.93242414866094(4,6,5)","3.9148676411688634(3,4,5)","3.9148676411688634(3,5,4)","5.64621617328617(6,5,6)","5.313292845913055(5,5,6)","4.308869380063767(4,4,5)","5.64621617328617(6,5,6)","3.3019272488946263(4,3,3)","5.313292845913055(5,6,5)","3.5568933044900626(3,5,3)","3.9999999999999996(4,4,4)","3.9148676411688634(3,5,4)","4.93242414866094(6,4,5)","5.64621617328617(6,5,6)","5.999999999999999(6,6,6)"
P7_wireless computer mouse (dark grey),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_transparent disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_teal toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
