,P0_small stack of neon green sticky notes,P1_rolled white poster or paper tube,P2_folded white paper airplane,P3_ripe yellow banana,P4_wireless game controller with gray camouflage pattern,P5_empty grey ceramic plate,P6_black remote control with buttons,P7_wireless computer mouse (dark grey),P8_transparent disposable plastic cup,P9_teal toothbrush with white bristles,P10_black hard-shell suitcase with top handle,"P11_green Lay's sour cream & onion potato chips bag, partially opened",P12_white minimalist desk lamp with red cord,P13_flat-screen TV,P14_small green potted plant in a ribbed yellow ceramic pot,P15_purple neoprene-coated dumbbell,P16_single wooden chopstick or bamboo stick,P17_clear glass pepper grinder with a black lid,P18_Arduino Uno microcontroller board with USB connector,P19_6-string cutaway acoustic guitar with light wood top and red sides,P20_blue upholstered bench seat with black metal frame,P21_whiteboard with a silver metal tray at the bottom
P0_small stack of neon green sticky notes,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_rolled white poster or paper tube,"3.1748021039363987(4,4,2)","0(0,0,0)","2.2894284851066637(3,2,2)","5.313292845913055(5,6,5)","2.154434690031884(5,2,1)","1.8171205928321397(6,1,1)","2.0(4,2,1)","2.0(4,2,1)","3.6840314986403864(5,5,2)","1.8171205928321397(2,1,3)","2.2894284851066637(6,2,1)","5.241482788417793(6,6,4)","1.7099759466766968(5,1,1)","1.4422495703074083(3,1,1)","2.7144176165949063(2,5,2)","2.7144176165949063(5,4,1)","1.2599210498948732(2,1,1)","1.5874010519681994(4,1,1)","1.4422495703074083(3,1,1)","2.7144176165949063(5,2,2)","5.64621617328617(6,6,5)","1.7099759466766968(5,1,1)"
P2_folded white paper airplane,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_ripe yellow banana,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_wireless game controller with gray camouflage pattern,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_empty grey ceramic plate,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_black remote control with buttons,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_wireless computer mouse (dark grey),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_transparent disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_teal toothbrush with white bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_black hard-shell suitcase with top handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
"P11_green Lay's sour cream & onion potato chips bag, partially opened","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_white minimalist desk lamp with red cord,"3.9148676411688634(5,4,3)","3.3019272488946263(6,3,2)","1.8171205928321397(3,2,1)","5.999999999999999(6,6,6)","2.5198420997897464(4,2,2)","1.8171205928321397(6,1,1)","2.8844991406148166(4,3,2)","2.7144176165949063(5,2,2)","3.634241185664279(4,4,3)","2.6207413942088964(2,3,3)","1.912931182772389(7,1,1)","5.64621617328617(6,6,5)","0(0,0,0)","1.5874010519681994(4,1,1)","4.308869380063767(5,4,4)","4.160167646103808(6,4,3)","1.5874010519681994(2,2,1)","2.8844991406148166(4,3,2)","1.2599210498948732(2,1,1)","2.7144176165949063(5,2,2)","5.593444710406984(7,5,5)","2.154434690031884(5,2,1)"
P13_flat-screen TV,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_small green potted plant in a ribbed yellow ceramic pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_purple neoprene-coated dumbbell,"3.5568933044900626(5,3,3)","3.3019272488946263(6,3,2)","2.5198420997897464(4,2,2)","5.64621617328617(5,6,6)","1.7099759466766968(5,1,1)","1.8171205928321397(6,1,1)","2.5198420997897464(4,2,2)","2.7144176165949063(5,2,2)","3.3019272488946263(4,3,3)","2.2894284851066637(2,2,3)","1.912931182772389(7,1,1)","5.313292845913055(6,5,5)","1.5874010519681994(4,1,1)","1.4422495703074083(3,1,1)","4.308869380063767(5,4,4)","0(0,0,0)","1.0(1,1,1)","1.4422495703074083(3,1,1)","1.4422495703074083(3,1,1)","2.8844991406148166(6,2,2)","5.1924941018511035(7,4,5)","1.4422495703074083(3,1,1)"
