,P0_small green potted plant in a white pot,P1_hardcover notebook with dark patterned cover,P2_pair of black-framed glasses,P3_clear plastic water bottle with screw cap,P4_yellow disposable paper cup,P5_transparent plastic ruler,P6_white USB charging cable,P7_small layered 3D-printed grey rabbit figurine,P8_red Shin Ramyun instant noodle packet,P9_stainless steel metal tweezers,P10_silver and black Olympus PEN film camera,P11_green round retractable measuring tape with partially extended beige tape,P12_white plastic adjustable desk lamp with circular head,P13_green-and-white pack of wet wipes with a single white tissue sheet protruding,P14_small bright orange tangerine,P15_long metal flat-head screwdriver with a translucent red handle,P16_gray fabric messenger bag with zipper pocket and adjustable shoulder strap,P17_high-back gray upholstered booth seat with metal frame,P18_black adjustable tripod stand (microphone or lighting stand),P19_green hexagonal fabric ottoman,P20_whiteboard with drawings and writings,P21_floor power outlet module with visible sockets,P22_loose white sheet of paper or document
P0_small green potted plant in a white pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_hardcover notebook with dark patterned cover,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_pair of black-framed glasses,"3.4199518933533937(5,4,2)","2.2894284851066637(6,2,1)","0(0,0,0)","2.8844991406148166(3,4,2)","3.1072325059538586(5,3,2)","1.8171205928321397(3,2,1)","3.634241185664279(4,4,3)","2.080083823051904(3,3,1)","3.7797631496846193(6,3,3)","1.8171205928321397(3,2,1)","2.5198420997897464(4,4,1)","2.8844991406148166(4,3,2)","2.6207413942088964(6,3,1)","4.641588833612778(5,5,4)","2.5198420997897464(4,2,2)","1.5874010519681994(2,2,1)","2.2894284851066637(3,2,2)","2.7144176165949063(5,4,1)","1.8171205928321397(2,3,1)","2.8844991406148166(6,4,1)","2.5198420997897464(4,4,1)","2.2894284851066637(4,3,1)","2.080083823051904(3,3,1)"
P3_clear plastic water bottle with screw cap,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_yellow disposable paper cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_transparent plastic ruler,"3.6840314986403864(5,5,2)","2.6207413942088964(6,3,1)","1.8171205928321397(3,2,1)","4.481404746557164(3,6,5)","2.46621207433047(5,3,1)","0(0,0,0)","2.5198420997897464(4,4,1)","1.5874010519681994(2,2,1)","2.6207413942088964(6,3,1)","1.5874010519681994(2,2,1)","1.8171205928321397(3,2,1)","2.2894284851066637(4,3,1)","2.2894284851066637(6,2,1)","3.634241185664279(6,4,2)","2.0(4,2,1)","1.5874010519681994(2,2,1)","2.6207413942088964(6,3,1)","2.46621207433047(5,3,1)","1.8171205928321397(3,2,1)","2.6207413942088964(6,3,1)","1.5874010519681994(4,1,1)","1.5874010519681994(2,2,1)","1.7099759466766968(5,1,1)"
P6_white USB charging cable,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_small layered 3D-printed grey rabbit figurine,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_red Shin Ramyun instant noodle packet,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_stainless steel metal tweezers,"4.481404746557164(6,5,3)","2.5198420997897464(4,2,2)","2.2894284851066637(3,2,2)","2.2894284851066637(2,3,2)","3.3019272488946263(6,3,2)","1.8171205928321397(3,2,1)","3.3019272488946263(3,4,3)","1.5874010519681994(2,2,1)","2.8844991406148166(4,3,2)","0(0,0,0)","1.8171205928321397(3,2,1)","2.6207413942088964(3,3,2)","2.154434690031884(5,2,1)","4.308869380063767(5,4,4)","2.6207413942088964(3,3,2)","1.5874010519681994(2,2,1)","2.8844991406148166(4,3,2)","3.4199518933533937(5,4,2)","1.5874010519681994(2,2,1)","2.5198420997897464(4,4,1)","1.5874010519681994(2,2,1)","2.080083823051904(3,3,1)","1.8171205928321397(3,2,1)"
